CCAA,Fecha,AcumulatedPRC,Hospitalized,Critical,Deaths,AcumulatedRecoveries
AN,22-04-2020,11682.3857,5338.9971,722.9886,1102.8265,3944.6309
AN,23-04-2020,11805.2568,5351.1831,726.9957,1124.1154,4090.3918
AN,24-04-2020,11942.3701,5349.376,731.6249,1145.4855,4231.8848
AN,25-04-2020,12084.0752,5338.5342,736.491,1166.6417,4362.165
AN,26-04-2020,12225.6055,5322.292,741.3771,1187.2883,4480.0981
AN,27-04-2020,12364.4092,5302.8516,746.165,1207.2306,4585.4351
AN,28-04-2020,12499.0547,5281.5903,750.7921,1226.342,4678.6216
AR,22-04-2020,4842.2236,2259.1763,246.4064,700.2424,1624.8135
AR,23-04-2020,4885.7983,2282.0063,244.0662,715.3608,1686.8286
AR,24-04-2020,4928.6167,2298.7656,242.0332,730.0152,1753.72
AR,25-04-2020,4970.2036,2312.2021,240.215,743.9363,1820.4421
AR,26-04-2020,5010.1821,2323.2332,238.562,756.8549,1883.8972
AR,27-04-2020,5048.3452,2332.4714,237.0444,768.6623,1942.2804
AR,28-04-2020,5084.5923,2340.3311,235.6438,779.3461,1994.708
AS,22-04-2020,2269.085,1771.8005,120.6503,229.9698,599.4543
AS,23-04-2020,2282.6064,1805.3674,121.4347,236.9198,606.9293
AS,24-04-2020,2294.7036,1839.4989,121.8995,243.9703,611.1699
AS,25-04-2020,2305.3318,1872.3939,122.1007,250.9216,613.4775
AS,26-04-2020,2314.6567,1903.403,122.1429,257.606,614.3879
AS,27-04-2020,2322.8186,1932.231,122.087,263.9252,614.28
AS,28-04-2020,2329.9438,1958.7804,121.97,269.8239,613.4264
IB,22-04-2020,1825.0734,1019.8288,162.336,173.7423,1103.3706
IB,23-04-2020,1846.3622,1037.4845,163.6692,178.2361,1118.1655
IB,24-04-2020,1867.7648,1054.605,164.7378,182.5546,1136.3263
IB,25-04-2020,1888.7167,1071.2261,165.5945,186.5855,1154.8452
IB,26-04-2020,1909.1052,1087.3357,166.2993,190.3011,1172.9979
IB,27-04-2020,1928.8641,1102.9202,166.8898,193.691,1190.3529
IB,28-04-2020,1947.9592,1117.9656,167.3914,196.7597,1206.6993
CN,22-04-2020,2122.0913,789.8663,166.6223,125.2426,1011.9432
CN,23-04-2020,2134.6362,787.6311,167.9723,127.1722,1043.6315
CN,24-04-2020,2147.3386,783.3895,169.2746,129.0699,1074.3346
CN,25-04-2020,2159.802,777.587,170.5206,130.9054,1102.0446
CN,26-04-2020,2171.916,770.8607,171.7139,132.6629,1126.7334
CN,27-04-2020,2183.623,763.6005,172.8575,134.3346,1148.5061
CN,28-04-2020,2194.8999,756.0499,173.9537,135.9173,1167.5857
CB,22-04-2020,2109.0835,952.9438,74.4286,210.685,860.76294
CB,23-04-2020,2133.228,961.4381,74.002,216.7545,901.17474
CB,24-04-2020,2160.6357,968.1246,73.4046,223.3251,940.00818
CB,25-04-2020,2188.4834,973.5984,72.7001,229.9708,973.22192
CB,26-04-2020,2216.0554,978.1885,71.9352,236.3016,1000.5449
CB,27-04-2020,2242.9104,982.1161,71.1404,242.1094,1022.4656
CB,28-04-2020,2268.8076,985.5327,70.3363,247.3095,1039.7983
CM,22-04-2020,16162.9805,10905.4756,565.6609,2308.7854,4896.4922
CM,23-04-2020,16206.4785,11235.624,576.6325,2365.8967,5047.0703
CM,24-04-2020,16284.667,11628.9141,587.1256,2424.9336,5197.2871
CM,25-04-2020,16381.2012,12012.5859,597.2328,2483.8792,5337.3442
CM,26-04-2020,16485.5254,12365.9727,606.9369,2541.1379,5464.6846
