CCAA,Fecha,AcumulatedPRC,Hospitalized,Critical,Deaths,AcumulatedRecoveries
AN,30-04-2020,11455.7549,5490.0029,751.2956,1249.0497,5666.229
AN,01-05-2020,11475.0107,5473.624,753.7503,1264.8677,5881.5835
AN,02-05-2020,11463.8291,5435.7944,757.4253,1281.0931,6074.2178
AN,03-05-2020,11436.1055,5383.0132,761.6527,1297.3737,6250.6113
AN,04-05-2020,11399.5156,5321.2114,766.0732,1313.3168,6411.9287
AN,05-05-2020,11358.5752,5254.208,770.5037,1328.6995,6559.0439
AN,06-05-2020,11315.9365,5184.5371,774.8478,1343.3936,6692.709
AR,30-04-2020,5113.4194,2382.2947,247.6519,695.1289,2505.1321
AR,01-05-2020,5141.6235,2387.9185,247.3775,695.1566,2594.3555
AR,02-05-2020,5168.3003,2388.1387,246.4801,692.1741,2677.8469
AR,03-05-2020,5193.5435,2385.1729,245.2775,687.4055,2754.55
AR,04-05-2020,5217.4307,2380.2617,243.9195,681.5714,2823.3013
AR,05-05-2020,5240.0356,2374.2178,242.4934,675.1321,2883.9673
AR,06-05-2020,5261.4277,2367.563,241.0515,668.3937,2936.9016
AS,30-04-2020,2292.0996,1977.552,135.7498,287.6854,812.3793
AS,01-05-2020,2295.4338,2002.925,136.4992,294.408,827.3663
AS,02-05-2020,2298.0835,2028.8673,137.0574,301.1393,839.7723
AS,03-05-2020,2300.2205,2054.3691,137.4905,307.6375,850.496
AS,04-05-2020,2301.949,2078.8752,137.837,313.8194,859.9616
AS,05-05-2020,2303.3477,2102.0789,138.1221,319.6351,868.4202
AS,06-05-2020,2304.4751,2123.8333,138.3622,325.0589,876.0397
IB,30-04-2020,1806.1692,1100.3701,166.5685,188.2814,1087.4355
IB,01-05-2020,1806.7769,1106.7406,166.5974,190.2428,1096.4995
IB,02-05-2020,1802.9663,1112.7781,166.5681,191.9905,1096.1519
IB,03-05-2020,1796.8822,1118.4261,166.5039,193.5852,1090.9657
IB,04-05-2020,1789.488,1123.6816,166.416,195.0508,1082.6404
IB,05-05-2020,1781.3817,1128.5574,166.3122,196.4041,1072.299
IB,06-05-2020,1772.9408,1133.0715,166.198,197.6583,1060.6755
CN,30-04-2020,2095.0913,899.3141,177.0035,128.5151,1170.157
CN,01-05-2020,2094.467,903.7235,177.8743,129.0682,1188.7656
CN,02-05-2020,2088.7422,907.2903,178.7442,129.2129,1207.209
CN,03-05-2020,2080.2803,910.1861,179.5822,129.0793,1225.1411
CN,04-05-2020,2070.2378,912.5947,180.3821,128.7702,1242.3824
CN,05-05-2020,2059.3638,914.6396,181.1416,128.3509,1258.8291
CN,06-05-2020,2048.144,916.405,181.8598,127.8644,1274.4319
CB,30-04-2020,2057.8689,1031.5917,78.4039,203.2572,1776.9698
CB,01-05-2020,2061.7971,1036.6417,78.4427,205.6097,1857.9288
CB,02-05-2020,2060.4255,1042.2917,78.4736,208.2949,1929.7225
CB,03-05-2020,2055.9434,1048.1542,78.4955,211.0401,1989.9249
CB,04-05-2020,2049.7908,1054.0558,78.5114,213.7549,2038.7346
CB,05-05-2020,2042.7994,1059.8882,78.5229,216.3846,2077.5742
CB,06-05-2020,2035.454,1065.5844,78.5314,218.8982,2108.1726
CM,30-04-2020,15612.7637,8879.9463,607.1995,2562.1309,5917.5112
CM,01-05-2020,15631.0928,8892.0918,611.9628,2598.4512,6037.5093
CM,02-05-2020,15639.2764,8924.7598,617.0477,2635.6868,6155.8862
CM,03-05-2020,15641.2715,8967.3535,622.1751,2672.7571,6270.7505
CM,04-05-2020,15639.1211,9014.4316,627.2047,2709.0535,6379.7246
CM,05-05-2020,15634.2393,9062.9658,632.0583,2744.1899,6481.6099
CM,06-05-2020,15627.5684,9111.2842,636.696,2777.9172,6575.8555
CL,30-04-2020,17171.8223,8113.4092,563.3989,1766.569,6763.0684
CL,01-05-2020,17331.8945,8186.0952,569.6778,1784.0358,6861.3696
CL,02-05-2020,17494.9219,8261.1719,576.5828,1800.3239,6960.0542
CL,03-05-2020,17657.2695,8335.7412,583.7382,1815.5023,7057.6772
CL,04-05-2020,17816.8223,8408.748,590.8893,1829.6508,7153.0527
CL,05-05-2020,17972.3516,8479.6113,597.8939,1842.8367,7245.4331
CL,06-05-2020,18123.1523,8548.0195,604.6704,1855.12,7334.3623
CT,30-04-2020,50044.9023,25448.3926,2613.875,4760.5088,19898.373
CT,01-05-2020,50573.3203,25629.2852,2632.0115,4801.1201,20333.5684
CT,02-05-2020,51084.1836,25719.3613,2636.9385,4829.5562,20745.6328
CT,03-05-2020,51570.6758,25766.0742,2633.8723,4850.8838,21129.7715
CT,04-05-2020,52030.7305,25785.293,2626.0232,4867.3198,21486.0898
CT,05-05-2020,52463.8047,25787.1309,2615.2378,4880.3638,21815.1309
CT,06-05-2020,52870.1211,25778.0645,2602.6355,4890.999,22117.7441
CE,30-04-2020,100.9279,9.7818,3.6667,3.8859,152.2371
CE,01-05-2020,101.0306,9.8407,3.6439,3.88,158.8735
CE,02-05-2020,101.143,9.8713,3.6011,3.8667,165.2612
CE,03-05-2020,101.2598,9.8844,3.5479,3.8498,171.0048
CE,04-05-2020,101.3776,9.886,3.4891,3.8313,175.9451
CE,05-05-2020,101.4946,9.88,3.4279,3.8123,180.0695
CE,06-05-2020,101.6092,9.8689,3.3664,3.7935,183.4467
VC,30-04-2020,10388.9619,5108.7363,632.3024,1273.2933,7421.9214
VC,01-05-2020,10431.1025,5126.0962,630.8448,1285.8229,7642.4116
VC,02-05-2020,10473.9297,5141.9316,628.076,1299.2781,7861.186
VC,03-05-2020,10516.2725,5156.5718,624.6324,1312.9462,8077.1226
VC,04-05-2020,10557.4551,5170.2246,620.857,1326.4358,8285.7637
VC,05-05-2020,10597.1016,5183.0391,616.9583,1339.53,8484.2744
VC,06-05-2020,10635.0107,5195.125,613.0607,1352.106,8670.8779
EX,30-04-2020,2789.1978,1579.8035,105.9196,454.4883,2164.0066
EX,01-05-2020,2796.0549,1597.7739,105.7838,458.7064,2258.2065
EX,02-05-2020,2803.4255,1615.5314,105.5828,463.0029,2346.3218
EX,03-05-2020,2810.9832,1632.6945,105.3552,467.2529,2423.894
EX,04-05-2020,2818.551,1649.1151,105.1148,471.3795,2490.0212
EX,05-05-2020,2826.0256,1664.7151,104.87,475.3401,2545.2305
EX,06-05-2020,2833.3452,1679.4598,104.6259,479.1128,2590.6843
GA,30-04-2020,9430.3047,2745.4724,133.3643,484.1876,4179.1851
GA,01-05-2020,9451.085,2747.584,147.4807,505.8224,4546.6147
GA,02-05-2020,9495.5684,2748.4614,155.0487,523.2755,4851.939
GA,03-05-2020,9547.3262,2748.4565,157.8742,538.7509,5094.9336
GA,04-05-2020,9602.2021,2747.8147,158.0365,552.7679,5283.5225
GA,05-05-2020,9657.6191,2746.7122,156.7053,565.6702,5426.4312
