CCAA,Fecha,AcumulatedPRC,Hospitalized,Critical,Deaths,AcumulatedRecoveries
AN,27-04-2020,10864.4814,5541.1533,704.4438,1273.6617,6027.7656
AN,28-04-2020,10845.7676,5550.772,705.765,1291.1602,6285.3696
AN,29-04-2020,10771.6143,5546.4204,706.0604,1313.1467,6531.23
AN,30-04-2020,10667.6748,5534.8232,705.8253,1336.7203,6756.709
AN,01-05-2020,10547.9863,5518.5142,705.2753,1360.5786,6953.5522
AN,02-05-2020,10421.0508,5499.2261,704.5375,1383.9478,7119.8052
AN,03-05-2020,10291.9824,5478.0991,703.6894,1406.3811,7257.2769
AR,27-04-2020,4771.6841,2473.1809,226.9233,763.1224,2074.0701
AR,28-04-2020,4777.2178,2493.4019,225.8693,775.0078,2165.1726
AR,29-04-2020,4772.4741,2514.489,223.2535,787.1616,2247.1953
AR,30-04-2020,4761.2422,2535.6672,219.7908,799.0623,2320.5493
AR,01-05-2020,4746.2114,2556.4514,215.882,810.4971,2385.6628
AR,02-05-2020,4729.1143,2576.5615,211.7594,821.3353,2442.9517
AR,03-05-2020,4711.0498,2595.8413,207.5638,831.5068,2492.9326
AS,27-04-2020,2330.4788,1890.3573,127.0732,265.2404,788.7052
AS,28-04-2020,2336.5125,1914.3979,127.7099,271.6288,807.1859
AS,29-04-2020,2344.6179,1939.9702,127.7416,277.7965,825.418
AS,30-04-2020,2353.6562,1964.7206,127.4867,283.6516,843.051
AS,01-05-2020,2363.022,1988.2335,127.0583,289.1327,859.8727
AS,02-05-2020,2372.3701,2010.2947,126.5282,294.2083,875.7708
AS,03-05-2020,2381.5122,2030.8254,125.9413,298.8685,890.6892
IB,27-04-2020,1783.3878,1083.6604,169.6624,187.9011,1087.3619
IB,28-04-2020,1786.8422,1094.8336,170.2954,190.7111,1095.4231
IB,29-04-2020,1786.8354,1105.2439,170.9713,193.6121,1100.6617
IB,30-04-2020,1784.7878,1114.9803,171.6586,196.4766,1103.9962
IB,01-05-2020,1781.4363,1124.0985,172.3351,199.2347,1106.0997
IB,02-05-2020,1777.2804,1132.6381,172.9903,201.8508,1107.3879
IB,03-05-2020,1772.6597,1140.6338,173.6196,204.3091,1108.1292
CN,27-04-2020,2157.0002,883.8781,171.6418,124.7025,1172.9922
CN,28-04-2020,2167.592,889.5459,172.5704,125.4533,1198.0308
CN,29-04-2020,2175.5918,894.508,173.3441,125.7186,1225.3555
CN,30-04-2020,2181.9692,898.9781,174.0113,125.7125,1251.4686
CN,01-05-2020,2187.1709,903.0594,174.6015,125.5415,1275.9652
CN,02-05-2020,2191.499,906.8189,175.1329,125.2713,1298.5582
CN,03-05-2020,2195.158,910.3021,175.6173,124.942,1319.1577
CB,27-04-2020,2053.1057,1021.3728,76.1753,194.6017,1553.2262
CB,28-04-2020,2062.3794,1028.369,75.956,197.7855,1636.7473
CB,29-04-2020,2067.8125,1035.9691,75.6709,200.9136,1702.8201
CB,30-04-2020,2070.603,1043.8225,75.339,203.8998,1753.6139
CB,01-05-2020,2071.6675,1051.6823,74.9857,206.7144,1791.1655
CB,02-05-2020,2071.574,1059.4062,74.6262,209.3423,1818.4154
CB,03-05-2020,2070.6858,1066.9113,74.2698,211.7803,1838.1045
CM,27-04-2020,15934.2979,8924.0742,558.0944,2449.9106,5587.9917
CM,28-04-2020,15990.7314,8942.5176,560.3495,2491.7385,5722.3613
CM,29-04-2020,16063.9639,8982.8398,561.4313,2533.2866,5857.0601
CM,30-04-2020,16147.1084,9031.7256,561.6644,2573.9285,5986.5454
CM,01-05-2020,16235.1963,9084.6904,561.3298,2613.1917,6108.7495
CM,02-05-2020,16325.1992,9138.9346,560.6179,2650.7869,6222.6772
CM,03-05-2020,16415.2461,9192.7588,559.6566,2686.5464,6327.9619
CL,27-04-2020,16184.1807,7467.7036,529.2469,1733.3918,6380.5498
CL,28-04-2020,16305.9668,7507.3809,534.6507,1755.9041,6479.4922
CL,29-04-2020,16404.0703,7527.6553,539.2972,1778.7009,6573.0327
CL,30-04-2020,16488.1172,7537.1514,543.4153,1801.0675,6661.3096
CL,01-05-2020,16561.7168,7540.0181,547.1537,1822.6609,6744.4814
CL,02-05-2020,16627.3281,7538.7676,550.6093,1843.2987,6822.7256
CL,03-05-2020,16686.5801,7534.9551,553.8466,1862.8912,6896.23
CT,27-04-2020,46563.1641,24351.2578,2692.792,4219.3979,18565.0879
CT,28-04-2020,47086.7812,24621.9316,2725.9998,4227.8848,19096.6953
CT,29-04-2020,47484.0586,24794.9785,2757.269,4208.5181,19638.3203
CT,30-04-2020,47817.4375,24923.9336,2787.0491,4170.4331,20180.2051
CT,01-05-2020,48103.2266,25024.4922,2815.4739,4120.2388,20714.4863
CT,02-05-2020,48353.1953,25106.793,2842.6128,4062.3953,21235.4434
CT,03-05-2020,48575.2344,25176.8574,2868.5103,3999.9749,21738.8301
CE,27-04-2020,99.197,9.235,3.7029,3.9135,128.9636
CE,28-04-2020,99.0757,9.2733,3.675,3.9034,135.9731
CE,29-04-2020,98.9134,9.2582,3.6359,3.8906,142.6891
CE,30-04-2020,98.7228,9.217,3.5897,3.8761,148.8275
CE,01-05-2020,98.5139,9.1612,3.5403,3.8608,154.1747
CE,02-05-2020,98.2939,9.0978,3.4903,3.8453,158.6924
CE,03-05-2020,98.0678,9.0307,3.441,3.8298,162.428
VC,27-04-2020,10301.9014,5117.5132,633.9332,1225.1982,6870.9316
VC,28-04-2020,10349.2715,5145.896,632.7299,1239.2402,7063.9136
VC,29-04-2020,10399.3701,5174.6143,630.4865,1253.3657,7245.1079
VC,30-04-2020,10449.457,5203.0679,627.647,1267.157,7413.2202
VC,01-05-2020,10498.4199,5230.7168,624.4997,1280.4216,7565.8774
VC,02-05-2020,10545.6787,5257.2998,621.2252,1293.0702,7702.5649
VC,03-05-2020,10590.9482,5282.6997,617.9371,1305.0657,7823.7354
EX,27-04-2020,2696.4685,1544.2346,102.0715,419.9224,2038.621
EX,28-04-2020,2695.8633,1564.1261,101.6392,422.5194,2126.4019
EX,29-04-2020,2692.7024,1584.156,100.9999,424.3781,2200.8174
EX,30-04-2020,2687.9536,1603.4938,100.2539,425.6843,2260.2131
EX,01-05-2020,2682.2444,1621.7451,99.46371,426.5699,2306.458
EX,02-05-2020,2675.9617,1638.7358,98.66751,427.1305,2342.0569
EX,03-05-2020,2669.3496,1654.4075,97.88841,427.4359,2369.4038
GA,27-04-2020,9077.0957,2652.4756,79.626,416.0342,1802.1
GA,28-04-2020,9160.4971,2656.9636,77.8288,422.4355,1825.0162
GA,29-04-2020,9224.5293,2655.8652,76.2369,428.9668,1844.2932
GA,30-04-2020,9275.4844,2651.7026,74.8663,435.4082,1861.2483
GA,01-05-2020,9317.1094,2645.7563,73.7226,441.6673,1876.4988
