CCAA,Fecha,AcumulatedPRC,Hospitalized,Critical,Deaths,AcumulatedRecoveries
AN,24-04-2020,11185.4746,5384.3701,746.0204,1126.7191,4885.0742
AN,25-04-2020,11234.7441,5396.188,751.6511,1143.479,5074.2207
AN,26-04-2020,11262.6035,5391.1001,758.8726,1159.7507,5259.4517
AN,27-04-2020,11277.6982,5376.8945,766.6332,1175.3,5426.5708
AN,28-04-2020,11284.083,5357.2554,774.5374,1190.0179,5569.7354
AN,29-04-2020,11284.4297,5334.4639,782.359,1203.8562,5688.8857
AN,30-04-2020,11280.5371,5309.9448,789.9686,1216.8043,5786.4624
AR,24-04-2020,4860.5859,2219.343,236.5498,660.8804,1689.8744
AR,25-04-2020,4894.022,2230.3398,235.3242,667.9531,1773.3779
AR,26-04-2020,4923.3721,2233.5854,233.3871,671.8483,1848.4948
AR,27-04-2020,4949.5176,2232.3477,231.1237,673.8412,1916.5215
AR,28-04-2020,4973.0088,2228.3738,228.744,674.6158,1978.3822
AR,29-04-2020,4994.2471,2222.7852,226.3673,674.5898,2034.451
AR,30-04-2020,5013.5327,2216.2842,224.0608,674.0283,2084.9678
AS,24-04-2020,2231.5286,1866.234,117.6348,231.7054,708.0821
AS,25-04-2020,2232.6631,1902.0363,117.259,237.6032,724.9274
AS,26-04-2020,2230.4844,1941.7214,116.2754,243.0912,741.1158
AS,27-04-2020,2225.9336,1981.6313,114.9396,248.2104,756.492
AS,28-04-2020,2219.635,2020.4479,113.414,252.9958,770.9865
AS,29-04-2020,2212.0339,2057.4497,111.7964,257.4728,784.5674
AS,30-04-2020,2203.4639,2092.2454,110.1475,261.6612,797.2307
IB,24-04-2020,1819.8231,984.54767,152.1719,181.7031,1121.0813
IB,25-04-2020,1835.3429,993.40131,151.9764,186.1368,1135.3456
IB,26-04-2020,1848.6991,998.68494,150.8719,190.4424,1151.139
IB,27-04-2020,1860.6603,1002.1669,149.2718,194.6298,1167.4126
IB,28-04-2020,1871.5577,1004.4619,147.3485,198.6546,1183.5204
IB,29-04-2020,1881.5988,1005.9745,145.2303,202.4902,1199.1085
IB,30-04-2020,1890.9137,1006.9612,143.0102,206.1222,1213.988
CN,24-04-2020,2054.1074,855.2744,169.837,123.8027,1096.0942
CN,25-04-2020,2060.3367,860.5032,171.2574,125.3681,1131.9478
CN,26-04-2020,2061.3989,864.9186,172.5711,126.6428,1166.5354
CN,27-04-2020,2058.6824,868.7432,173.8038,127.7307,1198.6987
CN,28-04-2020,2053.5872,872.1519,174.9699,128.6889,1228.0537
CN,29-04-2020,2046.9907,875.2473,176.0782,129.5485,1254.4861
CN,30-04-2020,2039.4492,878.0932,177.1346,130.3287,1278.0579
CB,24-04-2020,2029.2921,993.03687,77.128,183.4562,993.71832
CB,25-04-2020,2040.5781,1002.4601,77.0362,187.3973,1047.5044
CB,26-04-2020,2049.5498,1011.6699,76.8763,191.1556,1096.499
CB,27-04-2020,2056.9285,1020.5775,76.6741,194.6823,1139.342
CB,28-04-2020,2063.1089,1029.1471,76.4467,197.9609,1175.8895
CB,29-04-2020,2068.3726,1037.3677,76.2048,200.9874,1206.5449
CB,30-04-2020,2072.9126,1045.2395,75.9555,203.7652,1231.9772
CM,24-04-2020,15353.5244,10018.9473,561.1113,2361.71,4965.2412
CM,25-04-2020,15333.124,10171.0479,566.7749,2418.3354,5077.6304
CM,26-04-2020,15319.6182,10373.6455,572.0043,2475.5,5183.1543
CM,27-04-2020,15309.3779,10582.584,576.8665,2531.9883,5279.9741
CM,28-04-2020,15300.542,10788.8086,581.425,2586.9529,5367.6899
CM,29-04-2020,15292.1631,10985.9893,585.7233,2639.8164,5446.4106
CM,30-04-2020,15283.8057,11170.8838,589.792,2690.1987,5516.5864
CL,24-04-2020,16583.373,7083.4146,501.8712,1643.8911,6017.3965
CL,25-04-2020,16748.543,7152.5083,514.483,1666.4913,6125.373
CL,26-04-2020,16944.9141,7182.98,524.7628,1688.3877,6227.187
CL,27-04-2020,17152.9102,7189.1782,533.626,1709.2719,6322.9673
CL,28-04-2020,17363.2051,7178.0552,541.5035,1728.9761,6412.9644
CL,29-04-2020,17570.6289,7154.437,548.6724,1747.4351,6497.4155
CL,30-04-2020,17772.1875,7121.6709,555.3043,1764.6422,6576.5552
CT,24-04-2020,41298.2891,24530.4199,2600.3096,4635.2441,16632.3418
CT,25-04-2020,41509.875,24901.2617,2628.9429,4731.3564,17026.0254
CT,26-04-2020,41452.9688,25263.9023,2657.1992,4830.2725,17405.6523
CT,27-04-2020,41214.6406,25616.7422,2684.4829,4928.248,17765.5312
CT,28-04-2020,40848.0352,25958.7285,2710.4731,5023.7446,18103.5664
CT,29-04-2020,40389.9922,26289.1934,2735.0068,5115.7705,18418.8613
CT,30-04-2020,39866.0117,26607.6914,2758.0183,5203.6973,18711.3066
CE,24-04-2020,94.7727,8.4856,3.8418,4.0173,103.9478
CE,25-04-2020,94.2829,8.5209,3.834,4.0022,109.0987
CE,26-04-2020,93.5195,8.4787,3.8159,3.9911,113.6753
CE,27-04-2020,92.599,8.4004,3.7929,3.982,117.4664
CE,28-04-2020,91.5959,8.3052,3.7673,3.9739,120.518
CE,29-04-2020,90.5551,8.203,3.7405,3.9666,122.9286
CE,30-04-2020,89.5045,8.0991,3.7133,3.9597,124.8141
VC,24-04-2020,9540.9629,5072.3506,648.1133,1181.8108,6922.9243
VC,25-04-2020,9538.9375,5117.252,650.2294,1198.9779,7153.1152
VC,26-04-2020,9514.3887,5162.3828,651.4401,1216.2115,7381.915
VC,27-04-2020,9477.4785,5206.54,652.095,1233.1162,7593.145
VC,28-04-2020,9433.2012,5249.3184,652.3771,1249.4792,7778.6802
VC,29-04-2020,9384.8057,5290.5068,652.4061,1265.1807,7936.77
VC,30-04-2020,9334.4375,5330.0049,652.2607,1280.1593,8069.0347
EX,24-04-2020,2729.7046,1475.7799,110.8956,437.8799,1346.8987
EX,25-04-2020,2727.8765,1495.5603,110.7945,444.0758,1436.2302
EX,26-04-2020,2726.4087,1516.4827,110.9133,450.8197,1516.6954
EX,27-04-2020,2724.9409,1537.1877,111.1959,457.5356,1587.7455
EX,28-04-2020,2723.2959,1557.0293,111.5714,464.068,1649.0333
EX,29-04-2020,2721.4077,1575.7162,111.9977,470.3217,1700.8069
EX,30-04-2020,2719.2686,1593.1256,112.4489,476.2465,1743.8169
GA,24-04-2020,9081.6934,2740.3389,90.4285,401.5089,1755.6713
GA,25-04-2020,9204.001,2759.7432,87.6705,408.1931,1784.3895
GA,26-04-2020,9328.3379,2778.4062,85.4804,415.0247,1811.6476
GA,27-04-2020,9452.5967,2796.2239,83.7271,421.6647,1837.3281
GA,28-04-2020,9575.3076,2813.2007,82.3333,427.9864,1861.4167
GA,29-04-2020,9695.5244,2829.3611,81.2443,433.9234,1883.9497
GA,30-04-2020,9812.6289,2844.7402,80.4192,439.4458,1904.9865
MD,24-04-2020,58262.1602,7001.0015,964.9719,8049.5552,33802.3398
MD,25-04-2020,58418.8438,6827.3481,944.9022,8147.3174,34205.2266
MD,26-04-2020,58442.8984,6715.8516,928.0866,8252.1777,34531.2031
MD,27-04-2020,58393.1133,6654.0435,914.0087,8358.5078,34805.4219
MD,28-04-2020,58299.3828,6634.1045,902.27,8463.9941,35039.4297
MD,29-04-2020,58180.8281,6650.7114,892.6061,8567.2793,35241.6797
MD,30-04-2020,58049.3359,6699.8491,884.824,8667.5781,35418.3672
ML,24-04-2020,100.777,44.5484,2.9655,1.8481,76.8593
ML,25-04-2020,100.5056,44.5472,2.9639,1.8321,81.0597
ML,26-04-2020,99.924,44.581,2.9606,1.8105,84.6068
ML,27-04-2020,99.15719,44.6306,2.9565,1.7862,87.4506
ML,28-04-2020,98.28736,44.6874,2.9519,1.7606,89.6543
ML,29-04-2020,97.36381,44.747,2.9472,1.7347,91.332
ML,30-04-2020,96.41742,44.8071,2.9425,1.7091,92.6017
MC,24-04-2020,1437.8922,617.7159,104.9878,126.8726,982.40118
MC,25-04-2020,1438.865,620.3388,105.4942,128.0183,1028.7686
MC,26-04-2020,1438.3337,621.8878,105.9033,129.14,1073.292
MC,27-04-2020,1436.7427,622.7882,106.248,130.2222,1114.6438
MC,28-04-2020,1434.4995,623.2367,106.5457,131.2564,1151.3167
MC,29-04-2020,1431.8613,623.3701,106.8077,132.2389,1182.8715
MC,30-04-2020,1428.9966,623.2841,107.042,133.1687,1209.4462
NC,24-04-2020,4663.2744,1822.3207,128.9228,456.8376,1628.0787
NC,25-04-2020,4688.0718,1826.9524,129.313,473.1519,1718.5945
NC,26-04-2020,4713.7861,1824.9344,129.6543,489.106,1800.9285
NC,27-04-2020,4739.1035,1818.9783,129.9609,504.3329,1873.6317
NC,28-04-2020,4763.7324,1810.7513,130.2422,518.681,1936.2242
NC,29-04-2020,4787.5254,1801.2063,130.5037,532.0432,1989.0364
NC,30-04-2020,4810.4219,1790.9028,130.7482,544.3593,2032.9266
PV,24-04-2020,12444.9551,6422.4102,499.7473,1249.1725,8517.7168
PV,25-04-2020,12537.5059,6470.6401,502.2754,1274.5355,8797.6328
PV,26-04-2020,12633.9141,6520.75,503.1336,1300.3616,9051.791
PV,27-04-2020,12731.4404,6571.1787,503.0924,1325.6152,9285.4453
