CCAA,Fecha,AcumulatedPRC,Hospitalized,Critical,Deaths,AcumulatedRecoveries
AN,18-04-2020,10314.7959,5474.7837,665.8825,1187.4458,3440.0479
AN,19-04-2020,10364.5869,5526.4307,668.6142,1224.6757,3657.1677
AN,20-04-2020,10374.4609,5579.125,669.3679,1263.7948,3862.3074
AN,21-04-2020,10362.7012,5631.4629,668.8364,1300.9635,4048.2622
AN,22-04-2020,10337.3105,5682.3267,667.3879,1334.8134,4212.3643
AN,23-04-2020,10303.1582,5731.1411,665.283,1364.7302,4354.0181
AN,24-04-2020,10263.2949,5777.6221,662.7111,1390.6528,4474.3545
AR,18-04-2020,4753.9121,2214.9133,259.1852,661.6528,1381.2961
AR,19-04-2020,4833.4487,2248.7319,254.2058,689.2782,1426.3203
AR,20-04-2020,4917.269,2281.4199,249.5622,717.1335,1474.1672
AR,21-04-2020,5002.8213,2312.5813,245.0827,744.0575,1519.6117
AR,22-04-2020,5088.5054,2342.0374,240.6843,769.4172,1561.238
AR,23-04-2020,5173.3022,2369.7239,236.339,792.8414,1598.3943
AR,24-04-2020,5256.5273,2395.6406,232.0407,814.149,1630.9716
AS,18-04-2020,2126.1182,1627.6055,121.4962,222.7725,702.4438
AS,19-04-2020,2147.5554,1679.0479,123.3134,231.5079,729.1558
AS,20-04-2020,2161.9246,1730.0011,125.0826,240.6324,756.9714
AS,21-04-2020,2171.8083,1779.1726,126.7956,249.0659,782.4025
AS,22-04-2020,2178.6553,1825.8748,128.4479,256.5237,804.7947
AS,23-04-2020,2183.3809,1869.6687,130.0372,262.9223,823.9775
AS,24-04-2020,2186.594,1910.319,131.5621,268.2985,840.1044
IB,18-04-2020,1727.332,997.12988,151.0603,143.538,992.50854
IB,19-04-2020,1751.1946,1014.5454,151.9075,147.9777,1008.8741
IB,20-04-2020,1774.3339,1035.4034,152.458,152.0276,1024.4468
IB,21-04-2020,1796.6759,1057.411,152.7906,155.7661,1038.9998
IB,22-04-2020,1818.1685,1079.4768,152.9654,159.2419,1052.5719
IB,23-04-2020,1838.7754,1100.9858,153.0247,162.4814,1065.2214
IB,24-04-2020,1858.4778,1121.5845,152.9989,165.5019,1077.016
CN,18-04-2020,2005.9432,811.1904,150.2261,102.2891,1042.1865
CN,19-04-2020,2013.8972,816.081,150.9519,102.8557,1093.2366
CN,20-04-2020,2018.9309,820.1899,150.8925,102.8873,1134.6066
