CCAA,Fecha,AcumulatedPRC,Hospitalized,Critical,Deaths,AcumulatedRecoveries
AN,16-04-2020,11059.4639,5193.0918,693.9726,1031.0784,3307.0088
AN,17-04-2020,11194.2334,5239.46,705.0388,1070.3201,3437.5454
AN,18-04-2020,11343.2246,5278.8384,715.5768,1110.0376,3547.019
AN,19-04-2020,11494.9951,5312.3491,725.4351,1148.4025,3630.5752
AN,20-04-2020,11644.8213,5341.4946,734.6106,1184.2905,3692.802
AN,21-04-2020,11789.9492,5367.2866,743.1347,1217.1123,3738.7341
AN,22-04-2020,11928.8838,5390.4277,751.0507,1246.6304,3772.7183
AR,16-04-2020,4256.6753,1953.465,291.4276,610.2367,1147.0585
AR,17-04-2020,4296.7344,1971.7783,294.3144,636.0695,1183.793
AR,18-04-2020,4321.2891,1979.7006,296.9471,661.8216,1219.8717
AR,19-04-2020,4334.9795,1981.4153,299.3788,686.6129,1254.1725
AR,20-04-2020,4340.769,1979.0548,301.6315,709.7772,1286.3438
AR,21-04-2020,4340.6182,1973.9706,303.7237,730.9443,1316.2299
AR,22-04-2020,4335.8872,1967.0348,305.6706,749.9451,1343.8024
AS,16-04-2020,2070.8621,1523.1024,116.4813,187.8516,593.2545
AS,17-04-2020,2096.0154,1575.262,118.2002,197.4009,617.4929
AS,18-04-2020,2114.2053,1625.5591,119.7868,206.638,641.3144
AS,19-04-2020,2128.1689,1672.9753,121.2635,215.5504,663.097
AS,20-04-2020,2139.4353,1716.8923,122.6421,223.9611,682.5358
AS,21-04-2020,2148.8523,1757.0435,123.9309,231.7545,699.5678
AS,22-04-2020,2156.9302,1793.3804,125.1368,238.8644,714.2932
IB,16-04-2020,1621.1782,824.3896,151.2297,147.2411,1046.0457
IB,17-04-2020,1637.3459,828.4145,152.6641,152.4759,1075.8475
IB,18-04-2020,1652.0724,829.3361,153.9442,157.7317,1105.3451
IB,19-04-2020,1665.4639,828.4071,155.1079,162.8477,1133.5316
IB,20-04-2020,1677.7759,826.204,156.1723,167.6653,1159.8158
IB,21-04-2020,1689.1897,823.1172,157.1498,172.1019,1183.8412
IB,22-04-2020,1699.8394,819.4176,158.0506,176.1248,1205.4966
CN,16-04-2020,2058.6755,756.0263,159.5753,108.2442,858.13055
CN,17-04-2020,2076.3735,757.0588,161.187,109.9578,911.31006
CN,18-04-2020,2095.1628,755.4047,162.9453,111.7171,955.19592
CN,19-04-2020,2114.1851,752.1253,164.7632,113.4837,988.95294
CN,20-04-2020,2132.8875,747.7798,166.5955,115.2361,1014.0471
CN,21-04-2020,2150.9937,742.7347,168.4152,116.9604,1032.3734
CN,22-04-2020,2168.3669,737.2295,170.2058,118.6482,1045.7124
CB,16-04-2020,1901.3853,852.0403,80.6426,165.6962,582.4973
CB,17-04-2020,1929.0885,864.9477,81.29,171.8784,612.1826
CB,18-04-2020,1956.6877,874.455,82.079,178.3259,636.5015
CB,19-04-2020,1983.9384,882.3093,82.9211,184.5513,655.0942
CB,20-04-2020,2010.6198,888.948,83.7742,190.2056,668.5672
CB,21-04-2020,2036.595,894.6713,84.6151,195.1431,678.1093
CB,22-04-2020,2061.7727,899.687,85.4313,199.3474,684.8351
CM,16-04-2020,16467.875,8360.96777,525.0916,1918.8391,4590.3076
CM,17-04-2020,16800.6914,9070.60352,542.5554,1980.2747,4827.4351
CM,18-04-2020,17172.3945,9714.68457,559.9595,2040.6373,5031.7847
CM,19-04-2020,17538.3906,10281.9766,576.725,2098.6633,5190.6943
CM,20-04-2020,17888.0098,10765.0391,592.5266,2153.563,5307.1792
CM,21-04-2020,18215.7734,11164.3906,607.1801,2204.9177,5390.4141
CM,22-04-2020,18518.9297,11487.1377,620.5941,2252.5132,5449.5581
CL,16-04-2020,14725.7139,6485.2529,281.2714,1440.5273,5147.2158
CL,17-04-2020,15189.9209,6575.3862,276.1114,1474.9821,5359.4248
CL,18-04-2020,15638.9346,6660.7539,270.2293,1508.8561,5573.2896
CL,19-04-2020,16070.4912,6742.0205,264.024,1541.959,5783.23
CL,20-04-2020,16482.0039,6819.6226,257.7711,1573.926,5985.3394
CL,21-04-2020,16871.5625,6893.8936,251.6483,1604.5681,6177.0103
CL,22-04-2020,17237.8535,6965.0962,245.7673,1633.7826,6356.5273
CT,16-04-2020,38321.8438,20297.8105,2297.6179,3728.1426,13503.7178
CT,17-04-2020,39115.0664,20640.4609,2337.9417,3850.4929,14115.1152
CT,18-04-2020,39892.9336,20927.5898,2377.7537,3970.9485,14691.6689
CT,19-04-2020,40651.2695,21182.0098,2416.4089,4087.9268,15229.748
CT,20-04-2020,41388.4492,21412.8223,2453.5742,4200.3403,15717.9932
CT,21-04-2020,42103.3477,21625.4727,2489.0774,4307.4141,16152.1807
CT,22-04-2020,42795.1289,21823.3262,2522.8352,4408.6255,16532.5117
CE,16-04-2020,105.2672,8.902,3.8038,4.6431,48.8228
CE,17-04-2020,106.3012,8.8411,3.7512,4.6747,53.0478
CE,18-04-2020,107.6177,8.7783,3.6897,4.7194,55.6462
CE,19-04-2020,109.0551,8.7144,3.6238,4.7759,57.1648
CE,20-04-2020,110.5399,8.65,3.5549,4.8365,58.0443
CE,21-04-2020,112.0288,8.5856,3.4844,4.8975,58.5634
CE,22-04-2020,113.4962,8.5213,3.4132,4.957,58.88
VC,16-04-2020,9171.1094,4480.8037,580.7938,1028.0582,4597.9116
VC,17-04-2020,9272.71,4544.1597,587.6192,1054.6929,4916.8472
VC,18-04-2020,9336.9795,4598.9214,591.8253,1081.2915,5209.498
VC,19-04-2020,9375.9482,4648.4932,594.5032,1107.1185,5460.4888
VC,20-04-2020,9397.2861,4694.0073,596.0883,1131.7893,5667.0322
VC,21-04-2020,9406.2402,4736.1851,596.888,1155.069,5832.5288
VC,22-04-2020,9406.333,4775.5127,597.1163,1176.8362,5963.1226
EX,16-04-2020,2788.1399,1398.4802,114.0056,373.9883,742.9549
EX,17-04-2020,2827.2578,1451.0624,115.5826,383.5141,780.8995
EX,18-04-2020,2866.3474,1502.5724,117.044,393.0919,815.7641
EX,19-04-2020,2904.3652,1550.5708,118.4604,402.5078,845.9563
EX,20-04-2020,2940.7717,1594.0847,119.8212,411.6154,871.5456
EX,21-04-2020,2975.4031,1632.799,121.1247,420.3311,892.8901
EX,22-04-2020,3008.2109,1666.7788,122.3725,428.6061,910.5239
GA,16-04-2020,8730.05957,2633.7991,123.1805,392.3366,1679.9633
GA,17-04-2020,8898.3418,2684.5881,119.1065,404.3854,1773.7695
GA,18-04-2020,9121.92188,2737.6611,115.5277,417.4366,1868.4485
GA,19-04-2020,9366.25391,2791.1072,112.3169,430.2664,1959.7281
GA,20-04-2020,9619.9873,2843.4412,109.4016,442.1092,2043.9482
GA,21-04-2020,9875.86914,2893.8804,106.7437,452.6522,2119.1873
GA,22-04-2020,10129.1807,2942.0142,104.3227,461.8283,2184.7642
MD,16-04-2020,56615.8906,9892.3516,1247.7822,8327.1865,34546.0742
MD,17-04-2020,57268.9648,9587.6465,1224.0541,8523.9404,35754.7227
MD,18-04-2020,57907.4648,9337.8682,1204.2212,8767.7598,37035.7812
MD,19-04-2020,58528.7461,9134.0498,1187.3748,9028.6152,38285.8867
MD,20-04-2020,59131.4102,8969.3398,1172.741,9288.9688,39439.3164
MD,21-04-2020,59714.9023,8839.2725,1159.8901,9538.3018,40466.1953
MD,22-04-2020,60279.1602,8740.6299,1148.5739,9770.5303,41357.6992
ML,16-04-2020,108.7994,45.3846,2.9856,1.9723,28.1325
ML,17-04-2020,109.6885,45.6328,2.9799,1.956,29.633
ML,18-04-2020,110.6975,45.9507,2.9749,1.939,31.0711
ML,19-04-2020,111.7269,46.2929,2.9703,1.9217,32.3887
ML,20-04-2020,112.7391,46.6413,2.966,1.9043,33.5594
ML,21-04-2020,113.7142,46.9856,2.962,1.8869,34.5759
ML,22-04-2020,114.6427,47.3208,2.9583,1.8696,35.444
MC,16-04-2020,1420.4269,581.3463,97.55598,122.1498,658.4749
MC,17-04-2020,1427.056,585.8911,98.53936,125.3203,704.522
MC,18-04-2020,1433.1169,590.028,99.40936,128.6795,741.8533
MC,19-04-2020,1438.6917,593.8143,100.1929,131.9865,770.2977
MC,20-04-2020,1443.8479,597.3005,100.9078,135.1553,791.3015
MC,21-04-2020,1448.6431,600.5289,101.5658,138.1351,806.5345
MC,22-04-2020,1453.124,603.5349,102.1752,140.9024,817.524
NC,16-04-2020,4510.2783,1734.5248,119.34,275.7685,908.16681
NC,17-04-2020,4597.2817,1747.2307,118.5844,281.7283,962.81958
