CCAA,Fecha,AcumulatedPRC,Hospitalized,Critical,Deaths,AcumulatedRecoveries
AN,29-04-2020,12136.3457,5853.1572,720.4672,1109.1074,5527.3477
AN,30-04-2020,12218.8525,5879.7466,721.7742,1113.8047,5732.0352
AN,01-05-2020,12303.6201,5904.314,722.6792,1113.8647,5926.7729
AN,02-05-2020,12387.4014,5927.1606,723.2816,1111.0841,6108.6963
AN,03-05-2020,12469.0439,5948.4854,723.6639,1106.6583,6276.4639
AN,04-05-2020,12547.9092,5968.4365,723.8803,1101.2722,6429.4565
AN,05-05-2020,12623.6768,5987.1299,723.9676,1095.3456,6567.6562
AR,29-04-2020,4768.6572,2352.9692,252.8777,781.3781,2328.1172
AR,30-04-2020,4766.4263,2357.0276,253.2225,789.7859,2423.282
AR,01-05-2020,4750.4673,2356.1646,253.2564,799.7077,2512.4253
AR,02-05-2020,4727.0684,2352.3987,253.1749,809.7214,2594.9758
AR,03-05-2020,4699.5254,2346.8477,253.0266,819.4423,2670.4629
AR,04-05-2020,4669.8662,2340.2349,252.8433,828.6726,2738.728
AR,05-05-2020,4639.3594,2333.0298,252.6441,837.3253,2799.8806
AS,29-04-2020,2233.3086,1921.2316,135.7573,339.7161,838.1227
AS,30-04-2020,2230.4192,1944.5549,136.8489,348.4533,856.1673
AS,01-05-2020,2225.0054,1967.6151,137.6138,359.0619,873.5832
AS,02-05-2020,2218.0496,1989.9374,138.1823,370.0018,889.9672
AS,03-05-2020,2210.1765,2011.2268,138.6196,380.4614,905.1434
AS,04-05-2020,2201.7905,2031.344,138.9662,390.0643,919.0419
AS,05-05-2020,2193.1575,2050.2366,139.2477,398.6553,931.66
IB,29-04-2020,1843.4281,1126.624,154.9121,213.5743,1089.1986
IB,30-04-2020,1850.6227,1136.9254,153.6699,217.1578,1102.1263
IB,01-05-2020,1853.5297,1148.4846,151.9518,221.9947,1105.891
IB,02-05-2020,1853.8212,1160.1748,149.8989,227.2778,1105.4716
IB,03-05-2020,1852.4576,1171.6935,147.6716,232.6126,1102.4885
IB,04-05-2020,1850.0188,1182.8644,145.3729,237.7859,1097.9786
IB,05-05-2020,1846.8672,1193.5917,143.0687,242.681,1092.5996
CN,29-04-2020,2219.2852,907.1268,164.3585,128.5095,1123.2708
CN,30-04-2020,2230.6111,913.901,164.3774,129.3657,1138.6786
CN,01-05-2020,2241.8289,920.3101,163.8812,129.7166,1152.6215
CN,02-05-2020,2252.752,926.402,163.0975,129.735,1165.2297
CN,03-05-2020,2263.302,932.2183,162.1582,129.5368,1176.6447
CN,04-05-2020,2273.4441,937.7861,161.1412,129.1985,1186.9913
CN,05-05-2020,2283.166,943.124,160.0945,128.7693,1196.3815
CB,29-04-2020,2056.7649,1026.1265,77.4343,198.8174,1553.5668
CB,30-04-2020,2061.3076,1031.8997,77.3679,201.4629,1632.3256
CB,01-05-2020,2059.2449,1038.0804,77.2605,204.0676,1703.0377
CB,02-05-2020,2053.3623,1044.3905,77.1219,206.6115,1763.3746
CB,03-05-2020,2044.894,1050.6663,76.9652,209.0561,1813.4355
CB,04-05-2020,2034.7009,1056.8153,76.7984,211.3808,1854.2577
CB,05-05-2020,2023.3781,1062.7854,76.6265,213.5753,1887.2073
CM,29-04-2020,15441.5195,8924.8076,586.2523,2384.0217,5796.6465
CM,30-04-2020,15460.0684,8933.9033,590.6625,2411.4329,5905.4526
CM,01-05-2020,15465.0225,8967.4365,594.5479,2432.0037,6020.064
CM,02-05-2020,15459.2588,9010.1309,598.0313,2449.2603,6131.2773
CM,03-05-2020,15446.8359,9057.3145,601.2023,2463.9812,6236.0874
CM,04-05-2020,15430.333,9106.1631,604.1155,2476.7708,6333.2085
CM,05-05-2020,15411.4775,9154.9961,606.8079,2488.0442,6422.2329
CL,29-04-2020,15720.7959,7944.4004,541.8713,1620.0312,5998.564
CL,30-04-2020,15762.5098,8008.9922,545.5164,1628.119,6030.1802
CL,01-05-2020,15746.6152,8070.4863,549.0976,1629.2596,6034.5879
CL,02-05-2020,15691.8867,8128.8091,552.5399,1626.6211,6023.3716
CL,03-05-2020,15611.7373,8183.958,555.804,1621.6034,6001.7617
CL,04-05-2020,15514.3711,8235.9951,558.8784,1615.1447,5973.4663
CL,05-05-2020,15405.2314,8285.0234,561.7662,1607.8645,5940.9648
CT,29-04-2020,49773.4805,26453.9648,2794.8882,4873.0186,19192.3203
CT,30-04-2020,50394.2656,26819.3711,2828.0244,4938.8579,19543.2109
CT,01-05-2020,50993.4727,27139.3477,2859.4246,4995.7686,19866.25
CT,02-05-2020,51569.043,27430.0684,2889.1431,5047.0967,20159.8477
CT,03-05-2020,52119.3008,27698.4453,2917.2195,5093.6694,20425.0332
CT,04-05-2020,52643.4648,27948.5469,2943.6982,5136.1411,20663.3281
CT,05-05-2020,53141.2969,28182.8496,2968.6279,5175.0132,20876.5762
CE,29-04-2020,102.5672,9.1312,3.8678,3.8352,138.5559
CE,30-04-2020,102.6321,9.1656,3.8543,3.821,142.8129
CE,01-05-2020,102.8436,9.1237,3.8351,3.7987,146.8929
CE,02-05-2020,103.1248,9.0421,3.8132,3.7724,150.4724
CE,03-05-2020,103.4391,8.9396,3.79,3.7444,153.4371
CE,04-05-2020,103.7661,8.8272,3.7666,3.7158,155.8321
CE,05-05-2020,104.0946,8.7114,3.7436,3.6876,157.743
VC,29-04-2020,10107.2705,4953.957,652.8286,1239.9241,8557.749
VC,30-04-2020,10136.8467,4957.7065,652.7996,1250.8209,8787.9316
VC,01-05-2020,10153.9941,4955.7461,652.3021,1261.5422,9056.6416
VC,02-05-2020,10163.9111,4949.6206,651.481,1271.7986,9313.8516
VC,03-05-2020,10169.0352,4940.7988,650.4573,1281.5262,9548.0049
VC,04-05-2020,10170.8789,4930.2783,649.3084,1290.6912,9754.0879
VC,05-05-2020,10170.3955,4918.7383,648.0853,1299.2847,9931.5371
EX,29-04-2020,2596.343,1535.6805,102.6979,421.9938,2026.9598
EX,30-04-2020,2587.1182,1551.3838,102.1623,423.928,2116.9646
EX,01-05-2020,2571.825,1565.7104,101.5278,425.0946,2195.1277
EX,02-05-2020,2552.8772,1578.8617,100.8075,425.71,2261.7585
EX,03-05-2020,2531.8384,1590.9746,100.0463,425.9712,2317.1968
EX,04-05-2020,2509.7205,1602.1508,99.27286,426.0033,2362.6648
