CCAA,Fecha,AcumulatedPRC,Hospitalized,Critical,Deaths,AcumulatedRecoveries
AN,21-04-2020,11388.0684,5613.9375,747.5651,1070.339,4144.5693
AN,22-04-2020,11488.3867,5661.1167,754.3883,1089.597,4319.9082
AN,23-04-2020,11597.6025,5709.3296,763.5228,1108.7184,4487.7803
AN,24-04-2020,11709.5645,5756.6201,773.6675,1127.1538,4635.2358
AN,25-04-2020,11821.1943,5802.269,784.1749,1144.7394,4759.6489
AN,26-04-2020,11930.8154,5845.9443,794.6802,1161.3947,4862.2246
AN,27-04-2020,12037.5254,5887.4995,804.9789,1177.0925,4945.6748
AR,21-04-2020,4567.1665,2142.1792,252.545,695.3126,1272.4337
AR,22-04-2020,4594.6748,2156.0364,249.741,715.2526,1291.007
AR,23-04-2020,4611.5913,2161.3943,247.6017,734.8459,1310.7209
AR,24-04-2020,4622.5508,2162.085,245.9273,753.6413,1329.8054
AR,25-04-2020,4629.3286,2159.8442,244.575,771.3287,1347.8159
AR,26-04-2020,4633.1675,2155.74,243.4556,787.7258,1364.5645
AR,27-04-2020,4634.918,2150.4321,242.5121,802.7532,1379.9905
AS,21-04-2020,2319.3235,1715.2605,118.5499,219.4958,675.9841
AS,22-04-2020,2344.7603,1758.6737,119.1734,225.9081,694.366
AS,23-04-2020,2370.7578,1803.177,119.4433,232.0612,713.0353
AS,24-04-2020,2396.7188,1847.3401,119.4789,237.8458,731.2816
AS,25-04-2020,2422.2788,1890.8717,119.3622,243.2079,748.592
AS,26-04-2020,2447.208,1933.5438,119.1441,248.117,764.7261
AS,27-04-2020,2471.3616,1975.181,118.8579,252.5673,779.5892
IB,21-04-2020,1671.2904,964.20068,156.1539,168.5839,1128.2175
IB,22-04-2020,1684.889,977.51715,157.2408,173.9604,1151.8591
IB,23-04-2020,1689.0977,988.7428,157.9277,179.098,1177.9026
IB,24-04-2020,1688.1396,998.28143,158.3481,183.9445,1205.5244
IB,25-04-2020,1683.916,1006.5648,158.5842,188.4695,1233.4661
IB,26-04-2020,1677.6168,1013.8738,158.6937,192.6561,1260.9235
IB,27-04-2020,1669.9829,1020.3961,158.7158,196.4986,1287.3942
CN,21-04-2020,1986.7417,823.1027,160.1643,122.3699,1101.6628
CN,22-04-2020,1988.1405,825.997,161.2001,124.5395,1137.8621
CN,23-04-2020,1984.3098,828.0183,161.8902,126.6298,1175.306
CN,24-04-2020,1977.6843,829.2552,162.3517,128.6476,1209.554
CN,25-04-2020,1969.4147,829.9366,162.6733,130.596,1238.64
CN,26-04-2020,1960.2546,830.2137,162.9059,132.4757,1262.432
CN,27-04-2020,1950.6918,830.1903,163.0798,134.2866,1281.5061
CB,21-04-2020,1895.8713,967.26984,73.7967,169.9749,758.4321
CB,22-04-2020,1902.0883,977.86713,73.3564,174.6525,806.7219
CB,23-04-2020,1902.9789,988.06744,72.756,179.071,852.4631
CB,24-04-2020,1900.0569,997.73926,72.0448,183.1987,893.9521
CB,25-04-2020,1894.8657,1006.8392,71.2681,187.0197,930.3665
