CCAA,Fecha,AcumulatedPRC,Hospitalized,Critical,Deaths,AcumulatedRecoveries
AN,19-04-2020,10796.0703,5267.0977,752.3021,1070.5342,3805.1807
AN,20-04-2020,10873.1328,5287.2222,763.5546,1099.2274,4003.9038
AN,21-04-2020,10934.2363,5296.4434,776.3125,1128.3712,4184.4111
AN,22-04-2020,10984.5957,5298.0176,789.5221,1156.7826,4338.9126
AN,23-04-2020,11026.8877,5294.2314,802.6812,1183.9758,4465.6421
AN,24-04-2020,11062.9883,5286.6431,815.5052,1209.6373,4567.0625
AN,25-04-2020,11094.2197,5276.3745,827.8314,1233.5923,4647.0479
AR,19-04-2020,5047.7827,2277.282,259.2735,628.4079,1233.4318
AR,20-04-2020,5134.8467,2315.6648,255.7045,648.4561,1263.5529
AR,21-04-2020,5235.1523,2354.4187,252.8309,667.1577,1292.7456
AR,22-04-2020,5341.9595,2392.6609,250.3833,684.6995,1320.4653
AR,23-04-2020,5451.3438,2429.9604,248.2509,701.1501,1346.5389
AR,24-04-2020,5560.7148,2466.0486,246.359,716.5474,1370.8788
AR,25-04-2020,5668.3701,2500.7561,244.659,730.9185,1393.4659
AS,19-04-2020,2112.0051,1899.8434,118.7503,209.7321,642.6922
AS,20-04-2020,2122.7031,1970.0255,119.9307,217.588,663.6871
AS,21-04-2020,2125.6331,2047.3077,120.8667,225.2228,684.4218
AS,22-04-2020,2124.2117,2123.0381,121.6381,232.4339,704.103
AS,23-04-2020,2119.9197,2193.8528,122.2816,239.1015,722.4247
AS,24-04-2020,2113.7644,2257.842,122.824,245.1697,739.2419
AS,25-04-2020,2106.4133,2314.2542,123.2854,250.6226,754.5164
IB,19-04-2020,1720.1405,860.7136,165.6852,158.7686,1054.4982
IB,20-04-2020,1743.0048,866.0774,167.9084,164.6632,1072.2714
IB,21-04-2020,1762.5327,866.5956,170.331,170.3875,1090.9033
IB,22-04-2020,1780.2156,864.0877,172.7815,175.8478,1109.3412
IB,23-04-2020,1796.4895,859.5002,175.1793,181.0016,1127.1084
IB,24-04-2020,1811.6354,853.4861,177.4833,185.8209,1143.9778
IB,25-04-2020,1825.8308,846.5004,179.6735,190.2908,1159.8457
CN,19-04-2020,2003.0859,861.1647,157.9075,103.0391,999.24542
CN,20-04-2020,2009.1681,869.8454,159.1494,103.9156,1052.604
CN,21-04-2020,2010.7874,880.4053,160.1161,103.8412,1103.64
CN,22-04-2020,2010.1912,891.5753,160.8846,103.1989,1148.23
CN,23-04-2020,2008.0875,902.9225,161.5139,102.1725,1185.2285
CN,24-04-2020,2004.9528,914.2125,162.0421,100.8928,1215.0364
CN,25-04-2020,2001.0934,925.3162,162.4945,99.45343,1238.6217
CB,19-04-2020,1916.6989,895.0953,76.6032,166.0813,731.9636
CB,20-04-2020,1935.806,903.8029,76.5908,171.8604,778.9508
CB,21-04-2020,1949.4396,909.2089,76.4825,177.7654,820.2037
CB,22-04-2020,1959.9174,912.1791,76.3049,183.4975,853.4567
CB,23-04-2020,1968.2886,913.5051,76.0803,188.935,879.0428
CB,24-04-2020,1975.1929,913.7109,75.8243,194.0006,898.2288
CB,25-04-2020,1981.0374,913.1415,75.5478,198.6534,912.4534
CM,19-04-2020,17165.7461,12352.0654,477.8932,2095.0564,4910.2466
CM,20-04-2020,17412.1855,13272.4072,484.9421,2154.6455,5108.5688
CM,21-04-2020,17707.6406,14110.5518,488.1994,2214.4583,5299.3115
CM,22-04-2020,18018.5059,14799.1943,489.2278,2273.759,5470.0249
CM,23-04-2020,18329.6602,15327.3701,488.8143,2331.5544,5615.5225
CM,24-04-2020,18632.3242,15716.8672,487.4732,2387.199,5736.2485
CM,25-04-2020,18921.5254,15998.8428,485.5374,2440.2842,5834.8657
CL,19-04-2020,15386.5352,7021.4639,347.6469,1581.8367,5554.5435
CL,20-04-2020,15685.6621,7127.8726,359.7974,1619.1229,5713.4229
CL,21-04-2020,15955.8516,7231.042,366.123,1658.0302,5868.6587
CL,22-04-2020,16204.292,7330.1226,368.7154,1697.0227,6018.248
CL,23-04-2020,16432.7812,7424.4541,369.0465,1735.0804,6160.5068
CL,24-04-2020,16643.2051,7513.7422,368.0112,1771.562,6294.5264
CL,25-04-2020,16837.0684,7597.8857,366.146,1806.074,6419.8882
CT,19-04-2020,39065.2383,22175.5645,2405.7036,4578.6328,15916.3135
CT,20-04-2020,39583.6211,22576.2422,2443.7754,4727.2568,16636.1465
CT,21-04-2020,39982.707,22928.9629,2479.5149,4884.6255,17369.6895
