CCAA,Fecha,AcumulatedPRC,Hospitalized,Critical,Deaths,AcumulatedRecoveries
AN,17-04-2020,11850.918,5502.2573,699.3423,978.81946,3882.5566
AN,18-04-2020,12017.5078,5563.8979,709.4729,1002.7692,4031.4412
AN,19-04-2020,12238.7734,5632.2456,719.1462,1024.8375,4167.2852
AN,20-04-2020,12482.7998,5701.688,728.2561,1044.8079,4267.8896
AN,21-04-2020,12735.3105,5770.1436,736.8098,1062.7565,4339.9248
AN,22-04-2020,12988.1387,5836.4067,744.8321,1078.804,4390.9644
AN,23-04-2020,13236.4062,5899.8066,752.3541,1093.0978,4427.2764
AR,17-04-2020,4865.6143,2151.8643,306.0977,612.9169,1179.8655
AR,18-04-2020,4940.3252,2188.6389,306.0245,634.5478,1209.8712
AR,19-04-2020,5026.5063,2223.2822,309.1553,655.6424,1238.3486
AR,20-04-2020,5116.7085,2256.0562,313.0706,675.5605,1264.7244
AR,21-04-2020,5206.2446,2287.1135,317.3539,693.9437,1288.8279
AR,22-04-2020,5292.3589,2316.5408,321.7333,710.6425,1310.6763
AR,23-04-2020,5373.5103,2344.4019,326.0609,725.6227,1330.3848
AS,17-04-2020,2382.304,1639.8616,114.6184,188.0983,638.2549
AS,18-04-2020,2427.6431,1710.8464,115.9476,195.7139,668.2656
AS,19-04-2020,2483.5088,1783.0872,116.9569,203.2104,698.2426
AS,20-04-2020,2543.9038,1854.3431,117.7627,210.4098,726.7906
AS,21-04-2020,2605.8618,1922.8514,118.4183,217.2381,753.0046
AS,22-04-2020,2667.5479,1987.299,118.96,223.649,776.4614
AS,23-04-2020,2727.7466,2046.8129,119.4127,229.6154,797.0547
IB,17-04-2020,1666.526,848.9711,145.9494,142.8335,1030.1344
IB,18-04-2020,1686.0656,856.3096,146.5796,147.8354,1053.7567
IB,19-04-2020,1704.186,859.7858,146.7037,152.9544,1077.5195
IB,20-04-2020,1721.1748,861.3462,146.5458,158.0109,1100.0044
IB,21-04-2020,1737.1909,861.6304,146.1953,162.9402,1120.8226
IB,22-04-2020,1752.3364,861.0573,145.7155,167.6915,1139.819
