CCAA,Fecha,AcumulatedPRC,Hospitalized,Critical,Deaths,AcumulatedRecoveries
AN,26-04-2020,11728.7812,5805.6836,671.2953,1093.2855,4922.2495
AN,27-04-2020,11826.0693,5844.2124,669.6412,1104.1068,5151.8755
AN,28-04-2020,11914.3936,5881.9834,666.1814,1110.8063,5374.9619
AN,29-04-2020,11996.5771,5918.6011,661.4688,1115.0848,5585.5054
AN,30-04-2020,12074.1016,5953.9146,656.0674,1117.7264,5780.1343
AN,01-05-2020,12147.8301,5987.8472,650.3294,1119.2312,5956.981
AN,02-05-2020,12218.3047,6020.3696,644.4828,1119.9236,6115.3999
AR,26-04-2020,4773.5972,2176.3816,233.0927,708.2097,1919.6686
AR,27-04-2020,4792.6182,2166.1526,232.2994,717.7632,2016.1249
AR,28-04-2020,4799.7534,2143.4517,230.5511,725.3811,2100.002
AR,29-04-2020,4800.0776,2114.0649,228.2886,731.7287,2174.2043
AR,30-04-2020,4796.5791,2080.9417,225.7217,737.1565,2240.1062
AR,01-05-2020,4790.9175,2045.8997,222.9965,741.8904,2298.5383
AR,02-05-2020,4784.0474,2010.0834,220.2129,746.0844,2350.1296
AS,26-04-2020,2293.1326,1892.4451,134.9948,260.9069,758.7189
AS,27-04-2020,2299.3215,1922.876,136.5276,268.7448,775.3685
AS,28-04-2020,2305.7412,1953.4429,137.9709,276.611,791.0391
AS,29-04-2020,2312.0654,1983.9517,139.3476,284.3226,805.7258
AS,30-04-2020,2318.1458,2013.4965,140.6624,291.7656,819.3653
AS,01-05-2020,2323.9233,2041.5632,141.9189,298.866,831.9441
AS,02-05-2020,2329.387,2067.8843,143.1196,305.5775,843.4796
IB,26-04-2020,1811.527,1088.5305,165.2298,186.9018,1133.2719
IB,27-04-2020,1819.6311,1104.5026,165.7789,190.3301,1148.53
IB,28-04-2020,1824.5083,1120.2623,166.0556,193.7668,1163.566
IB,29-04-2020,1827.418,1135.7382,166.1522,197.0818,1178.1633
IB,30-04-2020,1829.0802,1150.8809,166.1226,200.2349,1192.2198
IB,01-05-2020,1829.946,1165.6534,166.0031,203.1981,1205.6805
IB,02-05-2020,1830.2986,1180.0287,165.8186,205.9592,1218.5198
CN,26-04-2020,2166.156,823.7407,160.7777,126.9112,1190.042
CN,27-04-2020,2178.6335,824.7259,160.4516,128.1251,1222.5188
CN,28-04-2020,2190.1135,821.4595,159.5239,129.0356,1258.2899
CN,29-04-2020,2200.8159,815.5869,158.2387,129.7507,1292.9774
CN,30-04-2020,2210.8923,808.1216,156.7484,130.331,1325.8456
CN,01-05-2020,2220.4365,799.7047,155.1496,130.8151,1356.3855
CN,02-05-2020,2229.5117,790.7549,153.5046,131.2282,1384.3994
CB,26-04-2020,2139.2512,960.3503,74.7476,192.3424,1412.916
CB,27-04-2020,2157.9644,963.4739,74.4024,195.8983,1490.494
CB,28-04-2020,2178.0181,964.5204,73.9156,199.3816,1562.2085
CB,29-04-2020,2198.6375,964.4763,73.3425,202.7316,1622.6952
CB,30-04-2020,2219.3301,963.7156,72.7258,205.8933,1671.2211
CB,01-05-2020,2239.8,962.4936,72.0913,208.8433,1709.0112
CB,02-05-2020,2259.8716,960.9823,71.4543,211.5732,1737.9525
CM,26-04-2020,14353.1152,9425.71973,572.3638,2447.4373,5525.584
CM,27-04-2020,14255.2412,9529.69531,576.7023,2488.7136,5682.4609
CM,28-04-2020,14100.4229,9646.3125,580.5721,2531.2317,5837.3682
CM,29-04-2020,13910.6611,9774.7666,584.07,2572.8738,5985.583
CM,30-04-2020,13699.6953,9905.70508,587.2491,2612.7231,6124.9116
CM,01-05-2020,13476.2568,10034.0801,590.1517,2650.3132,6254.2148
CM,02-05-2020,13246.1172,10157.1377,592.8126,2685.428,6373.0908
CL,26-04-2020,16756.4219,7692.0439,528.033,2100.3347,6456.2734
CL,27-04-2020,16929.4473,7774.7427,539.0628,2142.7241,6567.0312
CL,28-04-2020,17118.4062,7848.8906,548.9077,2201.6797,6680.3901
CL,29-04-2020,17310.1445,7916.1475,557.9234,2266.5708,6790.6704
CL,30-04-2020,17499.2598,7977.8623,566.309,2331.5872,6896.0112
CL,01-05-2020,17682.623,8034.9341,574.1765,2393.4968,6995.3813
CL,02-05-2020,17858.459,8087.9897,581.5903,2450.6218,7088.2988
CT,26-04-2020,43663.043,24609.6016,2504.9539,4810.1973,15961.1592
CT,27-04-2020,44007.168,24876.8105,2519.3845,4902.2476,16204.4414
CT,28-04-2020,44142.6445,25101.4512,2525.408,4996.5039,16345.501
CT,29-04-2020,44110.9922,25289.6855,2525.6172,5091.0786,16419.6699
CT,30-04-2020,43962.793,25452.4688,2521.8604,5184.1953,16449.2441
CT,01-05-2020,43732.0938,25596.2227,2515.3521,5274.6553,16448.25
CT,02-05-2020,43442.6289,25725.125,2506.927,5361.6968,16425.9902
CE,26-04-2020,95.5672,9.0903,3.8678,3.5303,127.1633
CE,27-04-2020,95.2095,9.2121,3.8583,3.4733,131.5127
CE,28-04-2020,94.6017,9.2564,3.8416,3.4019,135.372
CE,29-04-2020,93.8637,9.2651,3.8209,3.3214,138.4204
CE,30-04-2020,93.0479,9.2528,3.7983,3.2362,140.7695
CE,01-05-2020,92.1905,9.2283,3.7748,3.1492,142.562
CE,02-05-2020,91.3161,9.1966,3.7514,3.0624,143.9308
VC,26-04-2020,9452.6152,4883.2505,702.2253,1216.5363,6292.3413
VC,27-04-2020,9426.3535,4899.2358,705.566,1232.897,6497.4751
VC,28-04-2020,9365.0127,4908.5117,712.1337,1249.3796,6684.6084
VC,29-04-2020,9283.752,4912.8555,720.1552,1265.5492,6859.1543
VC,30-04-2020,9190.4385,4914.2339,728.911,1281.2465,7022.209
VC,01-05-2020,9090.084,4913.8149,738.0333,1296.3773,7174.5825
VC,02-05-2020,8985.9697,4912.2983,747.3224,1310.8862,7316.8462
EX,26-04-2020,2579.7166,1523.327,109.5985,421.5962,1697.1145
EX,27-04-2020,2570.2288,1542.9961,109.4552,424.8208,1806.7751
EX,28-04-2020,2552.2681,1563.499,109.4886,427.5321,1904.3665
EX,29-04-2020,2529.9475,1583.838,109.623,429.8903,1988.4148
EX,30-04-2020,2505.4719,1603.4728,109.8167,431.9646,2058.8303
EX,01-05-2020,2480.1562,1622.0977,110.0425,433.8044,2116.6062
EX,02-05-2020,2454.7942,1639.5519,110.2835,435.4453,2163.3469
GA,26-04-2020,8802.4629,2774.8708,81.1871,408.2068,1944.309
GA,27-04-2020,8866.6621,2788.7729,78.7482,414.452,1981.0425
GA,28-04-2020,8902.6904,2802.8914,76.504,420.707,2020.2805
GA,29-04-2020,8923.8545,2816.6653,74.4683,426.8632,2058.8699
GA,30-04-2020,8935.0439,2829.9092,72.6496,432.8286,2095.595
GA,01-05-2020,8939.5127,2842.5254,71.0514,438.5528,2129.8176
GA,02-05-2020,8939.4219,2854.4695,69.6741,444.008,2161.2512
MD,26-04-2020,59456.6016,6893.874,956.8668,7992.6421,35078.1797
MD,27-04-2020,59630.6055,6749.9692,941.3095,8067.9243,35448.8164
MD,28-04-2020,59672.7344,6696.542,933.2316,8138.0933,35752.3594
MD,29-04-2020,59642.0977,6703.7168,930.3348,8204.0537,36007.4961
MD,30-04-2020,59570.7773,6752.3564,931.0682,8266.333,36226.4492
MD,01-05-2020,59477.3398,6829.7676,934.4519,8325.2871,36417.1016
MD,02-05-2020,59372.6445,6927.1011,939.8228,8381.1777,36584.7773
ML,26-04-2020,102.857,42.8194,2.8831,1.9425,97.42124
ML,27-04-2020,102.6472,42.6878,2.8771,1.9414,103.3409
ML,28-04-2020,102.3605,42.501,2.8652,1.936,108.2023
ML,29-04-2020,101.9647,42.2807,2.8498,1.9285,111.9429
ML,30-04-2020,101.5092,42.0426,2.8325,1.9199,114.697
ML,01-05-2020,101.0252,41.7964,2.8144,1.9109,116.6863
ML,02-05-2020,100.5323,41.5482,2.796,1.9017,118.1166
MC,26-04-2020,1408.3397,615.3309,103.9789,132.5599,944.70117
MC,27-04-2020,1405.7007,615.9196,104.2067,134.0759,977.04889
MC,28-04-2020,1399.9213,615.2572,104.2731,135.714,1008.2776
MC,29-04-2020,1392.2401,613.8149,104.2593,137.4311,1037.7622
MC,30-04-2020,1383.4264,611.8871,104.1995,139.1702,1065.1884
MC,01-05-2020,1373.9852,609.6575,104.1132,140.8983,1090.3934
MC,02-05-2020,1364.2584,607.2458,104.0121,142.5955,1113.3268
NC,26-04-2020,4791.3477,1936.9087,125.3288,428.9097,1970.2339
NC,27-04-2020,4819.7798,1945.4009,125.2586,436.9872,2076.6562
NC,28-04-2020,4851.9644,1952.0739,125.0389,443.2159,2172.5024
NC,29-04-2020,4885.4121,1957.5117,124.6973,448.3872,2255.533
NC,30-04-2020,4918.6738,1961.9948,124.2837,452.7625,2325.3259
NC,01-05-2020,4951.0117,1965.724,123.8324,456.5266,2382.6946
