CCAA,Fecha,AcumulatedPRC,Hospitalized,Critical,Deaths,AcumulatedRecoveries
AN,20-04-2020,11159.3906,5684.9927,719.4985,977.90839,4057.1736
AN,21-04-2020,11249.6113,5749.4707,725.0261,992.29272,4255.9966
AN,22-04-2020,11339.8965,5823.0801,731.337,1003.1674,4457.4082
AN,23-04-2020,11427.2637,5899.7466,737.8793,1011.3961,4641.1846
AN,24-04-2020,11510.6699,5977.2388,744.3999,1017.8314,4801.4644
AN,25-04-2020,11589.6738,6054.1548,750.7586,1023.0436,4937.2422
AN,26-04-2020,11664.1387,6129.6426,756.8822,1027.4143,5050.0361
AR,20-04-2020,5638.1675,2162.929,267.519,628.4738,1162.9362
AR,21-04-2020,5729.3472,2184.7429,264.5289,646.2809,1180.1626
AR,22-04-2020,5868.7632,2198.0981,262.8459,661.3164,1193.2534
AR,23-04-2020,6017.5938,2207.4678,261.8533,674.677,1203.9332
AR,24-04-2020,6165.3301,2214.2104,261.2744,686.7708,1212.8564
AR,25-04-2020,6306.0068,2219.1477,260.9503,697.8521,1220.4766
AR,26-04-2020,6436.6045,2222.802,260.7869,708.0837,1227.105
AS,20-04-2020,2254.377,1585.0272,123.066,220.1054,792.6369
AS,21-04-2020,2276.3223,1619.9087,124.64,228.1207,810.2822
AS,22-04-2020,2296.1978,1650.9611,126.1145,236.277,830.6653
AS,23-04-2020,2314.3147,1678.8865,127.5099,244.1317,849.6445
AS,24-04-2020,2330.8828,1704.4531,128.8412,251.5188,865.8555
AS,25-04-2020,2346.0659,1728.1709,130.1182,258.3501,879.21
AS,26-04-2020,2360,1750.3824,131.3476,264.5857,890.0421
IB,20-04-2020,1763.7323,864.8777,144.2934,177.5564,1061.715
IB,21-04-2020,1786.8685,868.5529,144.7556,182.9878,1078.7035
IB,22-04-2020,1808.5092,866.1345,143.9723,188.7336,1096.4614
IB,23-04-2020,1829.004,859.5567,142.4931,194.2234,1114.1394
IB,24-04-2020,1848.5349,850.3247,140.5907,199.2439,1131.3018
IB,25-04-2020,1867.2097,839.3938,138.4404,203.7189,1147.7306
IB,26-04-2020,1885.0955,827.3933,136.1557,207.6405,1163.3236
CN,20-04-2020,2025.3735,833.8658,157.5202,114.6723,1051.748
CN,21-04-2020,2031.2601,839.3644,158.5665,116.5317,1100.3862
CN,22-04-2020,2034.1863,844.4716,159.2203,117.93,1147.7444
CN,23-04-2020,2035.1296,849.2117,159.5574,119.091,1190.4894
CN,24-04-2020,2034.8073,853.6247,159.6831,120.0875,1226.9392
CN,25-04-2020,2033.6545,857.7422,159.6643,120.9653,1257.0007
CN,26-04-2020,2031.9478,861.5908,159.5456,121.7532,1281.3022
CB,20-04-2020,1928.7875,942.5156,72.2218,187.6018,781.3969
CB,21-04-2020,1947.7236,953.8577,71.9058,193.5269,829.6318
CB,22-04-2020,1961.4866,963.7294,71.2211,200.3529,875.0854
CB,23-04-2020,1971.8652,972.4829,70.3072,207.122,913.5283
CB,24-04-2020,1979.9724,980.3331,69.2554,213.4835,944.6604
CB,25-04-2020,1986.5027,987.4291,68.1271,219.2744,969.0847
CB,26-04-2020,1991.9015,993.8786,66.9642,224.4389,987.8551
CM,20-04-2020,15429.2998,10667.6113,540.3509,2102.3291,5029.7417
CM,21-04-2020,15435.6504,11263.1299,554.4877,2148.6941,5287.8438
CM,22-04-2020,15435.3584,11884.6758,567.1579,2194.45,5545.7031
CM,23-04-2020,15426.1787,12474.9043,578.8858,2238.3228,5783.6729
CM,24-04-2020,15408.8242,13014.2803,589.9166,2279.825,5993.771
CM,25-04-2020,15384.6924,13492.0605,600.3797,2318.7097,6173.8862
CM,26-04-2020,15355.1104,13904.7393,610.3415,2354.8857,6325.0112
CL,20-04-2020,15870.2949,6493.4722,377.4419,1561.9631,6439.9727
CL,21-04-2020,16165.7832,6529.4487,392.7485,1591.5796,6631.0908
CL,22-04-2020,16453.2422,6534.9033,402.2154,1621.132,6848.2383
CL,23-04-2020,16731.6855,6519.9717,407.378,1650.5636,7067.2559
CL,24-04-2020,16998.8145,6492.0659,410.0282,1679.4489,7276.4282
CL,25-04-2020,17253.1426,6455.8081,411.1996,1707.4927,7469.3901
CL,26-04-2020,17494.0234,6414.2715,411.4773,1734.4962,7643.1963
CT,20-04-2020,38931.8945,23156.2188,2509.3645,4221.1094,17745.5625
CT,21-04-2020,39368.2148,23584.3945,2554.1816,4325.2944,18449.123
CT,22-04-2020,39625.3125,24010.6758,2599.4473,4427.3262,19140.1035
CT,23-04-2020,39755.9336,24429.9258,2644.0476,4525.1978,19778.4727
CT,24-04-2020,39800.4922,24839.6758,2687.5781,4618.0112,20340.8418
CT,25-04-2020,39786.1172,25238.252,2729.7083,4705.3267,20820.457
