CCAA,Fecha,AcumulatedPRC,Hospitalized,Critical,Deaths,AcumulatedRecoveries
AN,25-04-2020,10939.0586,5621.0957,737.0585,1170.7831,4557.166
AN,26-04-2020,10969.8916,5644.0083,741.2421,1189.6761,4728.126
AN,27-04-2020,10962.3164,5660.1001,745.9772,1208.2758,4894.0127
AN,28-04-2020,10933.043,5671.6348,750.8094,1226.3258,5048.9482
AN,29-04-2020,10889.9883,5680.0654,755.5587,1243.5085,5190.7114
AN,30-04-2020,10838.21,5686.3359,760.1241,1259.6704,5318.4307
AN,01-05-2020,10781.0439,5691.0698,764.4547,1274.7451,5432.1143
AR,25-04-2020,4878.3179,2398.7891,242.7933,753.1973,1837.3875
AR,26-04-2020,4910.167,2422.051,241.8974,767.729,1936.0781
AR,27-04-2020,4936.8896,2443.3945,240.6988,782.9283,2025.5936
AR,28-04-2020,4959.8535,2463.1199,239.3135,797.7336,2107.1951
AR,29-04-2020,4980.0415,2481.4358,237.8482,811.8498,2181.343
AR,30-04-2020,4998.0879,2498.5002,236.3681,825.1182,2248.2563
AR,01-05-2020,5014.4175,2514.4368,234.9123,837.4692,2308.1567
AS,25-04-2020,2106.7219,1857.5072,132.7741,251.0383,748.0434
AS,26-04-2020,2100.0815,1886.1023,134.2788,258.0331,765.48
AS,27-04-2020,2082.9226,1917.0474,135.6704,264.8828,782.7997
AS,28-04-2020,2059.7402,1947.6383,136.9772,271.4885,799.3407
AS,29-04-2020,2032.9025,1977.0308,138.2119,277.7651,814.9167
AS,30-04-2020,2003.9092,2004.7998,139.3826,283.6636,829.4193
AS,01-05-2020,1973.7399,2030.759,140.495,289.1596,842.811
IB,25-04-2020,1811.8325,1063.9353,169.4532,187.103,1110.0753
IB,26-04-2020,1822.8912,1077.5408,170.6706,191.737,1124.3013
IB,27-04-2020,1830.6993,1090.1875,171.8556,196.4475,1138.4037
IB,28-04-2020,1836.4739,1101.9161,172.9929,201.1386,1152.1925
IB,29-04-2020,1840.8153,1112.7976,174.0842,205.7248,1165.5651
IB,30-04-2020,1844.1218,1122.8861,175.1308,210.1531,1178.464
IB,01-05-2020,1846.6642,1132.2273,176.1344,214.3877,1190.8604
CN,25-04-2020,2037.3839,835.3173,162.7393,126.4905,1145.5981
CN,26-04-2020,2037.9214,838.2128,162.9501,127.9116,1183.1705
CN,27-04-2020,2032.4998,838.0671,162.7496,129.0533,1219.8927
CN,28-04-2020,2023.9521,836.3143,162.2557,129.9925,1254.6577
CN,29-04-2020,2013.6125,833.5897,161.5774,130.7864,1286.756
CN,30-04-2020,2002.3191,830.2853,160.785,131.4723,1315.8667
CN,01-05-2020,1990.6001,826.6412,159.9249,132.0748,1341.922
CB,25-04-2020,2043.7273,1008.9094,78.5883,182.1413,1161.1082
CB,26-04-2020,2052.9573,1018.59,78.5438,185.2752,1208.3883
CB,27-04-2020,2060.1633,1028.6993,78.5323,187.9882,1247.7661
CB,28-04-2020,2065.668,1038.9127,78.5345,190.3732,1278.8785
CB,29-04-2020,2070.0063,1049.0741,78.5427,192.4873,1302.8103
CB,30-04-2020,2073.5129,1059.0942,78.5529,194.3698,1321.0227
CB,01-05-2020,2076.408,1068.9199,78.5631,196.0501,1334.8723
CM,25-04-2020,15019.4111,9320.375,581.957,2372.231,5160.7837
CM,26-04-2020,14999.2012,9373.4707,589.3023,2418.2463,5256.4873
CM,27-04-2020,14962.1445,9462.6064,596.8287,2463.999,5352.229
CM,28-04-2020,14916.8135,9559.5576,604.3243,2508.343,5441.5215
CM,29-04-2020,14867.0449,9657.6807,611.6677,2550.8389,5522.9243
CM,30-04-2020,14815.3604,9753.3359,618.7964,2591.2402,5596.0913
