CCAA,Fecha,AcumulatedPRC,Hospitalized,Critical,Deaths,AcumulatedRecoveries
AN,01-05-2020,11385.4863,5903.127,691.9828,1249.813,6073.1235
AN,02-05-2020,11384.1348,5927.4868,690.0565,1264.4258,6283.7261
AN,03-05-2020,11351.6113,5948.4482,686.8199,1278.774,6462.6938
AN,04-05-2020,11301.4932,5967.0371,682.7054,1292.6898,6621.5439
AN,05-05-2020,11242.1758,5983.7646,678.1323,1306.0781,6762.0151
AN,06-05-2020,11178.6807,5998.9595,673.3575,1318.8872,6885.7329
AN,07-05-2020,11113.9551,6012.8418,668.538,1331.092,6994.3521
AR,01-05-2020,4951.6436,2384.8142,249.0682,692.6454,2594.5737
AR,02-05-2020,4962.8237,2393.7654,248.382,691.3714,2692.8047
AR,03-05-2020,4965.397,2395.2312,247.3392,687.0101,2787.7444
AR,04-05-2020,4961.5083,2392.103,246.0936,681.3694,2876.636
AR,05-05-2020,4953.5312,2386.2021,244.7635,675.0977,2958.2253
AR,06-05-2020,4943.0073,2378.644,243.4173,668.5981,3031.9492
AR,07-05-2020,4930.9526,2370.1345,242.0948,662.1113,3097.7581
AS,01-05-2020,2146.3218,1878.7396,138.5598,288.8637,881.2693
AS,02-05-2020,2136.5815,1893.8761,139.3269,293.784,902.3089
AS,03-05-2020,2118.1975,1904.196,139.9573,298.8496,922.6763
AS,04-05-2020,2094.8323,1912.0505,140.4849,303.6651,942.1821
AS,05-05-2020,2068.5151,1918.2063,140.9398,308.17,960.7034
AS,06-05-2020,2040.5308,1923.1766,141.3406,312.338,978.1654
AS,07-05-2020,2011.7189,1927.2906,141.6994,316.1636,994.5285
IB,01-05-2020,1764.3878,1072.0381,166.0182,182.8284,1113.7847
IB,02-05-2020,1759.2078,1075.0427,165.9254,183.8485,1118.6934
IB,03-05-2020,1746.1938,1076.4734,165.763,184.485,1115.6289
IB,04-05-2020,1729.3848,1077.0742,165.5541,184.8518,1107.7949
IB,05-05-2020,1710.4332,1077.1544,165.3177,185.0448,1096.9846
IB,06-05-2020,1690.3862,1076.9141,165.0659,185.1212,1084.3109
IB,07-05-2020,1669.9099,1076.4814,164.8069,185.1188,1070.489
CN,01-05-2020,2212.7822,873.3074,165.7761,129.7194,1386.9741
CN,02-05-2020,2219.7913,875.764,165.6555,129.9744,1416.636
CN,03-05-2020,2225.752,875.2957,164.9977,129.852,1452.1725
CN,04-05-2020,2230.9392,873.148,164.04,129.526,1488.0918
CN,05-05-2020,2235.5234,869.9996,162.9134,129.0707,1522.1637
CN,06-05-2020,2239.6152,866.2463,161.6989,128.5351,1553.3719
CN,07-05-2020,2243.292,862.133,160.4472,127.9523,1581.306
CB,01-05-2020,1978.9823,978.5073,75.4458,204.6238,2045.063
CB,02-05-2020,1966.3485,977.7888,75.259,206.976,2133.3303
CB,03-05-2020,1946.2419,974.9207,74.9529,209.6258,2218.3965
CB,04-05-2020,1920.7094,970.535,74.5603,212.3273,2292.9429
CB,05-05-2020,1892.4979,965.1148,74.1206,214.9897,2355.1621
